"filename", "language", "TypeScript", "JSON", "Markdown", "TypeScript JSX", "JSON with Comments", "JavaScript", "CSS", "Solidity", "MS SQL", "comment", "blank", "total"
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\investor\transactions\page.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 5, 23
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\iot\page.tsx", "TypeScript JSX", 0, 0, 0, 270, 0, 0, 0, 0, 0, 1, 19, 290
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\layout.tsx", "TypeScript JSX", 0, 0, 0, 27, 0, 0, 0, 0, 0, 3, 5, 35
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\owner\dividends\page.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 5, 23
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\owner\iot\page.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 5, 23
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\owner\page.tsx", "TypeScript JSX", 0, 0, 0, 82, 0, 0, 0, 0, 0, 4, 6, 92
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\owner\panels\page.tsx", "TypeScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 1, 5, 23
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\owner\panels\register\page.tsx", "TypeScript JSX", 0, 0, 0, 241, 0, 0, 0, 0, 0, 4, 10, 255
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\page.tsx", "TypeScript JSX", 0, 0, 0, 270, 0, 0, 0, 0, 0, 0, 16, 286
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\panels\page.tsx", "TypeScript JSX", 0, 0, 0, 511, 0, 0, 0, 0, 0, 4, 39, 554
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\portfolio\page.tsx", "TypeScript JSX", 0, 0, 0, 192, 0, 0, 0, 0, 0, 4, 8, 204
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\projects\page.tsx", "TypeScript JSX", 0, 0, 0, 131, 0, 0, 0, 0, 0, 2, 7, 140
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\dashboard\tokens\page.tsx", "TypeScript JSX", 0, 0, 0, 220, 0, 0, 0, 0, 0, 10, 14, 244
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 7, 36
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 3, 29
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\page.tsx", "TypeScript JSX", 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 3, 47
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\app\providers.tsx", "TypeScript JSX", 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 3, 17
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\components\auth\AuthForm.tsx", "TypeScript JSX", 0, 0, 0, 210, 0, 0, 0, 0, 0, 4, 24, 238
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\components\iot\DeviceDetails.tsx", "TypeScript JSX", 0, 0, 0, 229, 0, 0, 0, 0, 0, 3, 12, 244
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\components\iot\DeviceList.tsx", "TypeScript JSX", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 4, 126
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\components\iot\DeviceRegistration.tsx", "TypeScript JSX", 0, 0, 0, 144, 0, 0, 0, 0, 0, 0, 10, 154
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\components\layout\DashboardLayout.tsx", "TypeScript JSX", 0, 0, 0, 179, 0, 0, 0, 0, 0, 8, 26, 213
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\components\layout\MainLayout.tsx", "TypeScript JSX", 0, 0, 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\context\AuthContext.tsx", "TypeScript JSX", 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\hooks\useAuth.ts", "TypeScript", 193, 0, 0, 0, 0, 0, 0, 0, 0, 13, 30, 236
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\middleware.ts", "TypeScript", 102, 0, 0, 0, 0, 0, 0, 0, 0, 30, 23, 155
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\pages\iot\devices\[id].tsx", "TypeScript JSX", 0, 0, 0, 65, 0, 0, 0, 0, 0, 0, 9, 74
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\pages\iot\devices\index.tsx", "TypeScript JSX", 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 3, 22
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\pages\iot\devices\register.tsx", "TypeScript JSX", 0, 0, 0, 40, 0, 0, 0, 0, 0, 0, 5, 45
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\src\types\global.d.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 27, 0, 0, 0, 1, 0, 28
"c:\Users\User\Documents\dev\solar_energy_iofy\frontend\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 0, 27
"Total", "-", 4668, 151, 134, 3634, 67, 733, 29, 415, 50, 568, 1355, 11804
